Coordinates,Pair,Species,Genus,Family,Strategy,Plant,Sample,Original mass,Dry mass,Volume,Density,Moisture ,Ignition_Time,Obs_Burn_Time,Burn_Time,Completion,Completion_binary,Dry mass reading,Tape Mass,Comments
"35°32'44.3""S 150°22'07.6""E",3,Persoonia_linearis,Persoonia,Proteaceae,Resprouter,1,4,0.5,0.21,0.42,0.5,0.29,10.29,19,8.71,incomplete,0,0.26,0.05,
"35°32'44.3""S 150°22'07.6""E",3,Persoonia_linearis,Persoonia,Proteaceae,Resprouter,1,5,0.59,0.26,0.54,0.481481481,0.33,17.98,75,57.02,incomplete,0,0.32,0.06,
"35°32'43.7""S 150°22'05.9""E",3,Persoonia_linearis,Persoonia,Proteaceae,Resprouter,2,1,0.37,0.16,0.36,0.444444444,0.21,15.79,231,215.21,incomplete,0,0.23,0.07,
"35°32'43.7""S 150°22'05.9""E",3,Persoonia_linearis,Persoonia,Proteaceae,Resprouter,2,2,0.39,0.19,0.36,0.527777778,0.2,2.45,35,32.55,incomplete,0,0.27,0.08,
"35°32'43.7""S 150°22'05.9""E",3,Persoonia_linearis,Persoonia,Proteaceae,Resprouter,2,4,0.63,0.31,0.6,0.516666667,0.32,3.08,58,54.92,incomplete,0,0.38,0.07,
"35°32'43.4""S 150°22'03.4""E",3,Persoonia_linearis,Persoonia,Proteaceae,Resprouter,3,2,0.33,0.14,0.31,0.451612903,0.19,1.5,26,24.5,incomplete,0,0.21,0.07,
"35°32'43.4""S 150°22'03.4""E",3,Persoonia_linearis,Persoonia,Proteaceae,Resprouter,3,3,0.43,0.18,0.37,0.486486486,0.25,4.81,52,47.19,incomplete,0,0.26,0.08,
"35°32'43.4""S 150°22'03.4""E",3,Persoonia_linearis,Persoonia,Proteaceae,Resprouter,3,4,0.3,0.12,0.25,0.48,0.18,65.4,143,77.6,incomplete,0,0.2,0.08,
"35°32'43.4""S 150°22'03.4""E",3,Persoonia_linearis,Persoonia,Proteaceae,Resprouter,3,5,0.34,0.16,0.3,0.533333333,0.18,6.6,68,61.4,incomplete,0,0.22,0.06,
"35°32'38.7""S 150°21'56.9""E",3,Persoonia_linearis,Persoonia,Proteaceae,Resprouter,4,1,0.39,0.18,0.32,0.5625,0.21,1.52,44,42.48,incomplete,0,0.26,0.08,
"35°32'38.7""S 150°21'56.9""E",3,Persoonia_linearis,Persoonia,Proteaceae,Resprouter,4,2,0.53,0.25,0.47,0.531914894,0.28,1.55,477,475.45,incomplete,0,0.32,0.07,
"35°32'38.7""S 150°21'56.9""E",3,Persoonia_linearis,Persoonia,Proteaceae,Resprouter,4,3,0.78,0.39,0.69,0.565217391,0.39,1.41,78,76.59,incomplete,0,0.46,0.07,
"35°32'37.9""S 150°21'52.4""E",3,Persoonia_linearis,Persoonia,Proteaceae,Resprouter,5,1,0.44,0.2,0.41,0.487804878,0.24,1.52,102,100.48,incomplete,0,0.26,0.06,
"35°32'37.9""S 150°21'52.4""E",3,Persoonia_linearis,Persoonia,Proteaceae,Resprouter,5,2,0.64,0.31,0.59,0.525423729,0.33,3.16,82,78.84,incomplete,0,0.37,0.06,
"35°32'37.9""S 150°21'52.4""E",3,Persoonia_linearis,Persoonia,Proteaceae,Resprouter,5,3,0.37,0.18,0.32,0.5625,0.19,1.55,78,76.45,incomplete,0,0.27,0.09,
"35°32'37.9""S 150°21'52.4""E",3,Persoonia_linearis,Persoonia,Proteaceae,Resprouter,5,4,0.54,0.26,0.51,0.509803922,0.28,6.56,33,26.44,incomplete,0,0.32,0.06,
"35°32'41.6""S 150°22'59.6""E",4,Pittosporum_revolutum,Pittosporum,Pittosporaceae,Seeder,1,1,0.89,0.42,1.04,0.403846154,0.47,10.15,172,161.85,incomplete,0,0.45,0.03,
"35°32'41.6""S 150°22'59.6""E",4,Pittosporum_revolutum,Pittosporum,Pittosporaceae,Seeder,1,2,0.81,0.41,0.79,0.518987342,0.4,5.15,75,69.85,incomplete,0,0.44,0.03,
"35°32'41.6""S 150°22'59.6""E",4,Pittosporum_revolutum,Pittosporum,Pittosporaceae,Seeder,1,3,0.68,0.34,0.69,0.492753623,0.34,7.52,118,110.48,incomplete,0,0.37,0.03,
"35°32'41.6""S 150°22'59.6""E",4,Pittosporum_revolutum,Pittosporum,Pittosporaceae,Seeder,1,4,0.97,0.43,0.98,0.43877551,0.54,16.21,21,4.79,incomplete,0,0.46,0.03,
"35°32'41.6""S 150°22'59.6""E",4,Pittosporum_revolutum,Pittosporum,Pittosporaceae,Seeder,1,5,0.7,0.44,1.04,0.423076923,0.26,8.11,141,132.89,incomplete,0,0.47,0.03,
"35°32'40.9""S 150°22'59.7""E",4,Pittosporum_revolutum,Pittosporum,Pittosporaceae,Seeder,2,1,1.13,0.63,1.04,0.605769231,0.5,4.22,270,265.78,incomplete,0,0.66,0.03,
"35°32'40.9""S 150°22'59.7""E",4,Pittosporum_revolutum,Pittosporum,Pittosporaceae,Seeder,2,2,1.44,0.73,1.32,0.553030303,0.71,20.56,316,295.44,incomplete,0,0.76,0.03,
"35°32'40.9""S 150°22'59.7""E",4,Pittosporum_revolutum,Pittosporum,Pittosporaceae,Seeder,2,3,1.06,0.57,0.97,0.587628866,0.49,13.63,161,147.37,incomplete,0,0.6,0.03,
"35°32'40.9""S 150°22'59.7""E",4,Pittosporum_revolutum,Pittosporum,Pittosporaceae,Seeder,2,4,1.14,0.54,1.04,0.519230769,0.6,10.28,235,224.72,incomplete,0,0.57,0.03,
"35°32'40.9""S 150°22'59.7""E",4,Pittosporum_revolutum,Pittosporum,Pittosporaceae,Seeder,2,5,1.35,0.76,1.25,0.608,0.59,6.14,256,249.86,incomplete,0,0.79,0.03,
"35°32'40.1""S 150°23'01.1""E",4,Pittosporum_revolutum,Pittosporum,Pittosporaceae,Seeder,3,3,1.33,0.53,1.26,0.420634921,0.8,4.06,221,221,incomplete,0,0.56,0.03,
"35°32'40.1""S 150°23'01.1""E",4,Pittosporum_revolutum,Pittosporum,Pittosporaceae,Seeder,3,4,1.33,0.55,1.21,0.454545455,0.78,4.5,115,115,incomplete,0,0.58,0.03,
"35°32'40.1""S 150°23'01.1""E",4,Pittosporum_revolutum,Pittosporum,Pittosporaceae,Seeder,3,5,1.57,0.66,1.42,0.464788732,0.91,5.59,214,214,incomplete,0,0.69,0.03,
"35°32'40.4""S 150°23'01.4""E",4,Pittosporum_revolutum,Pittosporum,Pittosporaceae,Seeder,4,1,0.64,0.31,0.64,0.484375,0.33,0.76,257,256.24,incomplete,0,0.34,0.03,
"35°32'40.4""S 150°23'01.4""E",4,Pittosporum_revolutum,Pittosporum,Pittosporaceae,Seeder,4,2,0.6,0.31,0.58,0.534482759,0.29,1.29,258,256.71,incomplete,0,0.34,0.03,
"35°32'40.4""S 150°23'01.4""E",4,Pittosporum_revolutum,Pittosporum,Pittosporaceae,Seeder,4,3,0.7,0.37,0.62,0.596774194,0.33,2.55,83,80.45,incomplete,0,0.4,0.03,
"35°32'40.4""S 150°23'01.4""E",4,Pittosporum_revolutum,Pittosporum,Pittosporaceae,Seeder,4,4,1.41,0.79,1.27,0.622047244,0.62,3.29,270,266.71,incomplete,0,0.82,0.03,
"35°32'40.4""S 150°23'01.4""E",4,Pittosporum_revolutum,Pittosporum,Pittosporaceae,Seeder,4,5,1.22,0.65,1.06,0.613207547,0.57,4.79,172,167.21,incomplete,0,0.68,0.03,
"35°32'39.9""S 150°23'03.0""E",4,Pittosporum_revolutum,Pittosporum,Pittosporaceae,Seeder,5,1,1.83,1.1,1.63,0.674846626,0.73,4.65,45,40.35,incomplete,0,1.13,0.03,
"35°32'39.9""S 150°23'03.0""E",4,Pittosporum_revolutum,Pittosporum,Pittosporaceae,Seeder,5,2,2.04,1.02,1.9,0.536842105,1.02,1.23,123,121.77,incomplete,0,1.05,0.03,
"35°32'39.9""S 150°23'03.0""E",4,Pittosporum_revolutum,Pittosporum,Pittosporaceae,Seeder,5,3,1.72,0.88,1.52,0.578947368,0.84,3.36,176,172.64,incomplete,0,0.91,0.03,
"35°32'39.9""S 150°23'03.0""E",4,Pittosporum_revolutum,Pittosporum,Pittosporaceae,Seeder,5,4,1.35,0.64,1.28,0.5,0.71,13.58,203,189.42,incomplete,0,0.67,0.03,
"35°32'39.9""S 150°23'03.0""E",4,Pittosporum_revolutum,Pittosporum,Pittosporaceae,Seeder,5,5,1.75,1.01,1.6,0.63125,0.74,17.46,156,138.54,incomplete,0,1.04,0.03,
"35°32'41.4""S 150°22'59.7""E",4,Pittosporum_undulatum,Pittosporum,Pittosporaceae,Resprouter,1,1,1.24,0.68,1.32,0.515151515,0.56,9.71,201,191.29,incomplete,0,0.71,0.03,
"35°32'41.4""S 150°22'59.7""E",4,Pittosporum_undulatum,Pittosporum,Pittosporaceae,Resprouter,1,2,0.79,0.33,0.83,0.397590361,0.46,3.08,189,185.92,incomplete,0,0.36,0.03,
"35°32'41.4""S 150°22'59.7""E",4,Pittosporum_undulatum,Pittosporum,Pittosporaceae,Resprouter,1,3,1.78,0.99,1.82,0.543956044,0.79,32.59,166,133.41,incomplete,0,1.02,0.03,
"35°32'41.4""S 150°22'59.7""E",4,Pittosporum_undulatum,Pittosporum,Pittosporaceae,Resprouter,1,4,0.86,0.37,0.97,0.381443299,0.49,4.01,208,203.99,incomplete,0,0.4,0.03,
"35°32'41.4""S 150°22'59.7""E",4,Pittosporum_undulatum,Pittosporum,Pittosporaceae,Resprouter,1,5,0.77,0.29,0.79,0.367088608,0.48,4.45,161,156.55,incomplete,0,0.32,0.03,
"35°32'41.1""S 150°22'59.8""E",4,Pittosporum_undulatum,Pittosporum,Pittosporaceae,Resprouter,2,1,1.45,0.69,1.38,0.5,0.76,2.16,75,75,incomplete,0,0.72,0.03,
"35°32'41.1""S 150°22'59.8""E",4,Pittosporum_undulatum,Pittosporum,Pittosporaceae,Resprouter,2,2,1.75,0.93,1.65,0.563636364,0.82,3.81,42,42,incomplete,0,0.96,0.03,
"35°32'41.1""S 150°22'59.8""E",4,Pittosporum_undulatum,Pittosporum,Pittosporaceae,Resprouter,2,3,1.37,0.62,1.3,0.476923077,0.75,4.86,68,68,incomplete,0,0.65,0.03,
"35°32'41.1""S 150°22'59.8""E",4,Pittosporum_undulatum,Pittosporum,Pittosporaceae,Resprouter,2,4,1.49,0.76,1.4,0.542857143,0.73,1.92,118,118,incomplete,0,0.79,0.03,
"35°32'41.1""S 150°22'59.8""E",4,Pittosporum_undulatum,Pittosporum,Pittosporaceae,Resprouter,2,5,1.46,0.77,1.5,0.513333333,0.69,1.42,82,82,incomplete,0,0.8,0.03,
"35°32'40.1""S 150°23'01.1""E",4,Pittosporum_undulatum,Pittosporum,Pittosporaceae,Resprouter,3,1,0.87,0.21,0.8,0.2625,0.66,13.85,122,108.15,incomplete,0,0.24,0.03,
"35°32'40.1""S 150°23'01.1""E",4,Pittosporum_undulatum,Pittosporum,Pittosporaceae,Resprouter,3,2,1.67,0.62,1.56,0.397435897,1.05,2.85,274,271.15,incomplete,0,0.65,0.03,
"35°32'40.1""S 150°23'01.1""E",4,Pittosporum_undulatum,Pittosporum,Pittosporaceae,Resprouter,3,3,1.11,0.3,1.05,0.285714286,0.81,2.38,137,134.62,incomplete,0,0.33,0.03,
"35°32'40.1""S 150°23'01.1""E",4,Pittosporum_undulatum,Pittosporum,Pittosporaceae,Resprouter,3,4,1.05,0.28,0.98,0.285714286,0.77,9.78,177,167.22,incomplete,0,0.31,0.03,
"35°32'40.1""S 150°23'01.1""E",4,Pittosporum_undulatum,Pittosporum,Pittosporaceae,Resprouter,3,5,1.73,0.74,1.64,0.451219512,0.99,3.6,30,26.4,incomplete,0,0.77,0.03,
"35°32'39.9""S 150°23'02.1""E",4,Pittosporum_undulatum,Pittosporum,Pittosporaceae,Resprouter,4,1,0.91,0.46,0.95,0.484210526,0.45,2.11,252,249.89,incomplete,0,0.49,0.03,
"35°32'39.9""S 150°23'02.1""E",4,Pittosporum_undulatum,Pittosporum,Pittosporaceae,Resprouter,4,3,0.6,0.41,0.69,0.594202899,0.19,1.25,86,84.75,incomplete,0,0.44,0.03,
"35°32'39.9""S 150°23'02.1""E",4,Pittosporum_undulatum,Pittosporum,Pittosporaceae,Resprouter,4,4,1.18,0.53,1.16,0.456896552,0.65,8,255,247,incomplete,0,0.56,0.03,
"35°32'39.9""S 150°23'02.1""E",4,Pittosporum_undulatum,Pittosporum,Pittosporaceae,Resprouter,4,5,1.76,1.01,1.76,0.573863636,0.75,3.24,158,154.76,incomplete,0,1.04,0.03,
"35°32'38.2""S 150°23'03.8""E",4,Pittosporum_undulatum,Pittosporum,Pittosporaceae,Resprouter,5,1,1.25,0.53,1.23,0.430894309,0.72,4.22,108,103.78,incomplete,0,0.56,0.03,
"35°32'38.2""S 150°23'03.8""E",4,Pittosporum_undulatum,Pittosporum,Pittosporaceae,Resprouter,5,2,0.6,0.51,0.91,0.56043956,0.09,3.31,218,214.69,incomplete,0,0.54,0.03,
"35°32'38.2""S 150°23'03.8""E",4,Pittosporum_undulatum,Pittosporum,Pittosporaceae,Resprouter,5,3,1.1,0.37,1.02,0.362745098,0.73,8.99,41,32.01,incomplete,0,0.4,0.03,
"35°32'38.2""S 150°23'03.8""E",4,Pittosporum_undulatum,Pittosporum,Pittosporaceae,Resprouter,5,4,1.75,1,1.71,0.584795322,0.75,2.05,139,136.95,incomplete,0,1.03,0.03,
"35°32'38.2""S 150°23'03.8""E",4,Pittosporum_undulatum,Pittosporum,Pittosporaceae,Resprouter,5,5,0.88,0.31,0.84,0.369047619,0.57,5.11,137,131.89,incomplete,0,0.34,0.03,
"35°32'40.1""S 150°21'35.6""E",7,Indigofera_australis,Indigofera,Fabaceae,Resprouter,1,1,0.14,0.06,0.15,0.4,0.08,5.89,65.18,59.29,incomplete,0,0.13,0.07,
"35°32'40.1""S 150°21'35.6""E",7,Indigofera_australis,Indigofera,Fabaceae,Resprouter,1,2,0.42,0.15,0.41,0.365853659,0.27,1.29,100.19,98.9,incomplete,0,0.21,0.06,
"35°32'40.1""S 150°21'35.6""E",7,Indigofera_australis,Indigofera,Fabaceae,Resprouter,1,3,0.38,0.15,0.38,0.394736842,0.23,1.04,28.15,27.11,incomplete,0,0.21,0.06,#burnt until node then extinguished
"35°32'40.1""S 150°21'35.6""E",7,Indigofera_australis,Indigofera,Fabaceae,Resprouter,1,4,0.4,0.14,0.39,0.358974359,0.26,0.91,43.37,42.46,incomplete,0,0.23,0.09,
"35°32'40.1""S 150°21'35.6""E",7,Indigofera_australis,Indigofera,Fabaceae,Resprouter,1,5,0.32,0.11,0.27,0.407407407,0.21,1.18,69.46,68.28,incomplete,0,0.16,0.05,
"35°32'40.1""S 150°21'35.6""E",7,Indigofera_australis,Indigofera,Fabaceae,Resprouter,2,1,0.16,0.09,0.15,0.6,0.07,0.47,110.89,110.42,incomplete,0,0.16,0.07,
"35°32'40.3""S 150°21'32.8""E",7,Indigofera_australis,Indigofera,Fabaceae,Resprouter,2,2,0.18,0.08,0.17,0.470588235,0.1,4.1,54.7,50.6,complete,1,0.15,0.07,"#Slow ignition, first 30 odd second burning like an incense stick at very tip of stick. Then Suddenly burnt very quickly up the entirestick."
"35°32'40.3""S 150°21'32.8""E",7,Indigofera_australis,Indigofera,Fabaceae,Resprouter,2,3,0.26,0.11,0.25,0.44,0.15,0,55.74,55.74,incomplete,0,0.19,0.08,
"35°32'40.3""S 150°21'32.8""E",7,Indigofera_australis,Indigofera,Fabaceae,Resprouter,2,4,0.2,0.1,0.19,0.526315789,0.1,0.41,72.98,72.57,incomplete,0,0.19,0.09,
"35°32'40.3""S 150°21'32.8""E",7,Indigofera_australis,Indigofera,Fabaceae,Resprouter,2,5,0.22,0.08,0.21,0.380952381,0.14,1.01,61.42,60.41,incomplete,0,0.18,0.1,
"35°32'41.1""S 150°21'31.9""E",7,Indigofera_australis,Indigofera,Fabaceae,Resprouter,3,1,0.19,0.06,0.18,0.333333333,0.13,0.41,55.63,55.22,incomplete,0,0.13,0.07,
"35°32'41.1""S 150°21'31.9""E",7,Indigofera_australis,Indigofera,Fabaceae,Resprouter,3,2,0.22,0.08,0.21,0.380952381,0.14,0.47,26.61,26.14,incomplete,0,0.14,0.06,
"35°32'41.1""S 150°21'31.9""E",7,Indigofera_australis,Indigofera,Fabaceae,Resprouter,3,3,0.18,0.07,0.17,0.411764706,0.11,1.8,45.42,43.62,incomplete,0,0.13,0.06,
"35°32'41.1""S 150°21'31.9""E",7,Indigofera_australis,Indigofera,Fabaceae,Resprouter,3,4,0.2,0.07,0.21,0.333333333,0.13,0,32.42,32.42,incomplete,0,0.14,0.07,
"35°32'41.1""S 150°21'31.9""E",7,Indigofera_australis,Indigofera,Fabaceae,Resprouter,3,5,0.21,0.08,0.2,0.4,0.13,0.48,68.03,67.55,incomplete,0,0.14,0.06,
"35°32'40.9""S 150°21'32.9""E",7,Indigofera_australis,Indigofera,Fabaceae,Resprouter,4,1,0.14,0.05,0.13,0.384615385,0.09,0.44,25.29,24.85,incomplete,0,0.14,0.09,
"35°32'40.9""S 150°21'32.9""E",7,Indigofera_australis,Indigofera,Fabaceae,Resprouter,4,2,0.15,0.07,0.13,0.538461538,0.08,1.33,15.82,14.49,incomplete,0,0.14,0.07,#burnt quickly until a biforcation in the stem. Then was almost instantaneously put out.
"35°32'40.9""S 150°21'32.9""E",7,Indigofera_australis,Indigofera,Fabaceae,Resprouter,4,3,0.15,0.05,0.13,0.384615385,0.1,0,86.31,86.31,incomplete,0,0.14,0.09,
"35°32'40.9""S 150°21'32.9""E",7,Indigofera_australis,Indigofera,Fabaceae,Resprouter,4,4,0.16,0.05,0.14,0.357142857,0.11,1.99,22.47,20.48,complete,1,0.12,0.07,
"35°32'40.9""S 150°21'32.9""E",7,Indigofera_australis,Indigofera,Fabaceae,Resprouter,4,5,0.17,0.07,0.16,0.4375,0.1,0.6,19.21,18.61,incomplete,0,0.13,0.06,
"35°32'40.9""S 150°21'32.9""E",7,Indigofera_australis,Indigofera,Fabaceae,Resprouter,5,1,0.16,0.05,0.13,0.384615385,0.11,0,47.65,47.65,incomplete,0,0.12,0.07,
"35°32'40.9""S 150°21'32.9""E",7,Indigofera_australis,Indigofera,Fabaceae,Resprouter,5,2,0.23,0.09,0.2,0.45,0.14,1.07,48.93,47.86,incomplete,0,0.16,0.07,
"35°32'40.9""S 150°21'32.9""E",7,Indigofera_australis,Indigofera,Fabaceae,Resprouter,5,3,0.15,0.07,0.13,0.538461538,0.08,0.94,56.61,55.67,incomplete,0,0.12,0.05,
"35°32'40.9""S 150°21'32.9""E",7,Indigofera_australis,Indigofera,Fabaceae,Resprouter,5,4,0.22,0.09,0.19,0.473684211,0.13,0.34,64.91,64.57,incomplete,0,0.16,0.07,
"35°32'40.9""S 150°21'32.9""E",7,Indigofera_australis,Indigofera,Fabaceae,Resprouter,5,5,0.26,0.12,0.25,0.48,0.14,0.86,49.76,48.9,incomplete,0,0.18,0.06,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
